Product Name,Sub Product,Issue,Sub Issue,Company,State Name,Zip Code,Submitted via,Date Sent to Company,Company Response to Consumer,Timely Response,Consumer Disputed,Complaint ID,Date Recieved
Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt is not mine,"Accelerated Financial Solutions, LLC",GA,30044,Web,2014-09-02,Closed with non-monetary relief,Yes,No,1002574,2014-08-26
Debt collection,Auto,Communication tactics,Frequent or repeated calls,Ally Financial Inc.,IL,60020,Web,2014-09-02,Closed with explanation,Yes,No,1009639,2014-09-02
Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,"Diversified Consultants, Inc.",PA,15317,Web,2014-08-12,Closed with explanation,Yes,No,979754,2014-08-12
Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,"Fredericksburg Credit Bureau, Inc.",VA,22902,Web,2014-08-20,Closed with explanation,Yes,Yes,987759,2014-08-16
Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,Mnet Financial Inc,CA,90275,Phone,2014-09-02,Closed with explanation,Yes,No,1002578,2014-08-26
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,ERC,WA,98531,Web,2014-09-11,Closed with non-monetary relief,Yes,No,1023208,2014-09-10
Debt collection,I do not know,Improper contact or sharing of info,Contacted me after I asked not to,"Portfolio Recovery Associates, Inc.",MI,48183,Web,2014-09-10,Closed with non-monetary relief,Yes,No,1016873,2014-09-05
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"Convergent Resources, Inc.",AL,36853,Fax,2014-09-05,Closed with explanation,Yes,No,1011092,2014-09-02
Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,"Navient Solutions, Inc.",NY,11795,Web,2014-08-12,Closed with explanation,Yes,No,979767,2014-08-12
Debt collection,Mortgage,Communication tactics,Called outside of 8am-9pm,"Caliber Home Loans, Inc",AL,35210,Web,2014-09-11,Closed with explanation,Yes,No,1016350,2014-09-05
Debt collection,Federal student loan,Communication tactics,Threatened to take legal action,"URS Holding, LLC",NC,28594,Web,2014-09-02,Closed with explanation,Yes,No,1000798,2014-08-26
Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called outside of 8am-9pm,"McCarthy, Burgess & Wolff, Inc.",CA,90631,Web,2014-08-27,Closed with explanation,Yes,Yes,994175,2014-08-21
Debt collection,Payday loan,Improper contact or sharing of info,Contacted me after I asked not to,"MNE Services, Inc",KY,40601,Web,2014-08-12,Closed with explanation,Yes,No,979780,2014-08-12
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"The CBE Group, Inc.",KY,40047,Web,2014-08-16,Closed with explanation,Yes,No,987621,2014-08-16
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"PayPal Holdings, Inc.",NY,14127,Web,2014-08-14,Closed with explanation,Yes,No,979504,2014-08-12
Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,"Enhanced Acquisitions, LLC",MD,21044,Web,2014-09-02,Closed with explanation,Yes,No,1001150,2014-08-26
Debt collection,Credit card,Communication tactics,Frequent or repeated calls,Synchrony Financial,IL,61917,Web,2014-08-20,Closed with explanation,Yes,No,987652,2014-08-16
Student loan,Non-federal student loan,Dealing with my lender or servicer,Keep getting calls about my loan,"Navient Solutions, Inc.",OK,73069,Web,2014-08-26,Closed with explanation,Yes,No,1002631,2014-08-26
Debt collection,Credit card,Disclosure verification of debt,Right to dispute notice not received,"Love, Beal & Nixon, P.C.",OK,74445,Web,2014-10-01,Closed with non-monetary relief,Yes,Yes,987673,2014-08-16
Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"WAKEFIELD & ASSOCIATES, INC.",MO,65101,Web,2014-09-11,Closed with explanation,Yes,Yes,1023955,2014-09-10
Debt collection,Credit card,Communication tactics,Threatened to take legal action,Capital One,GA,30318,Web,2014-08-16,Closed with explanation,Yes,No,987680,2014-08-16
Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Used obscene/profane/abusive language,"Portfolio Recovery Associates, Inc.",NY,11553,Web,2014-08-16,Closed with non-monetary relief,Yes,No,987685,2014-08-16
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Dominion Law Associates, P.L.L.C.",VA,22306,Web,2014-09-11,Closed with explanation,Yes,No,1023970,2014-09-11
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,"Portfolio Recovery Associates, Inc.",CA,90740,Web,2014-08-16,Closed with explanation,Yes,Yes,987696,2014-08-16
